Đơn vị bầu cử,Tên,Chức Vụ
8,ÔNG MAI HỮU TÂM,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, CHÁNH VĂN PHÒNG HĐND VÀ UBND XÃ"
8,ÔNG LÂM THANH VŨ,"PHÓ BAN VĂN HÓA - XÃ HỘI, HỘI ĐỒNG NHÂN DÂN XÃ"
9,ÔNG TRƯƠNG VĂN BẢY,BÍ THƯ CHI BỘ ẤP 56
9,ÔNG PHẠM HÙNG CƯỜNG,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, PHÓ CHỦ TỊCH HỘI ĐỒNG NHÂN DÂN XÃ"
9,BÀ NGUYỄN THANH NHÀN,NHÂN VIÊN VĂN PHÒNG HĐND VÀ UBND XÃ
9,BÀ TRƯƠNG NGỌC THANH THANH,NHÂN VIÊN PHÒNG VĂN HÓA - XÃ HỘI XÃ
9,BÀ HUỲNH THỊ ÚT,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, CHÁNH VĂN PHÒNG ĐẢNG ỦY XÃ"
10,ÔNG NGUYỄN THANH SƠN,"PHÓ GIÁM ĐỐC TÀI CHÍNH CÔNG TY TƯ VẤN AN PHÁT, BÍ THƯ CHI BỘ ẤP 69"
10,ÔNG HUỲNH HỮU TÂM,PHÓ BAN KINH TẾ - NGÂN SÁCH HỘI ĐỒNG NHÂN DÂN XÃ
10,ÔNG ĐỖ VĂN THẢO,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, PHÓ CHỦ TỊCH ỦY BAN MTTQ VIỆT NAM XÃ, CHỦ TỊCH HỘI NÔNG DÂN XÃ"
10,BÀ DƯƠNG THỊ UYÊN THỊ,HIỆU TRƯỞNG TRƯỜNG MẦM NON HƯỚNG DƯƠNG 2
10,BÀ CAO THỊ KIM XUYẾN,NHÂN VIÊN PHÒNG KINH TẾ XÃ BÍ THƯ CHI ĐOÀN ẤP 60
